test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c2dAd; 37.65
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c2dAh; 32.58
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c3cAc; 31.64
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c3dAd; 34.25
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c3dAh; 33.85
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c5c9c; 32.88
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c5d9c; 31.45
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c5d9h; 25.50
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c6cTc; 35.58
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c6dTh; 27.62
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c9cTc; 29.35
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2c9dTh; 29.06
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 2cAcAd; 30.64
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c3d8d; 34.57
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c3dTd; 30.93
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c5d8c; 33.46
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c6dTc; 28.20
test1; UTG_50%_HJ_75%_CO_70%; UTG_2sb_HJ_8sb_CO_15sb_BTN_27sb_SB_AI_BB_Call_UTG_Fold_HJ_Fold_CO_Call; UTG_50%_HJ_75%_CO_70%_BTN_AI_SB_Call_BB_Call_UTG_Call; ; 3c7c7d; 34.55
